Array length,QuickSort,MeanOf3,BitterEnd,Hoare,BestBitterEndNumber
460,30573,31372,13531,42304,24.09375
461,30493,31345,13811,42521,24.1015625
462,30677,31536,13831,42481,25.2265625
463,30727,31813,14262,42775,25.078125
464,30831,31693,13701,42731,25.25
465,30994,31793,13918,42812,25.609375
466,30954,31820,14028,42842,25.296875
467,31048,31933,13811,43062,24.5625
468,31168,32023,14015,43306,23.703125
469,31215,32097,13835,43440,23.78125
470,31322,32164,14463,43483,24.984375
471,31402,32267,14179,43493,25.1796875
472,31462,32274,14489,43413,25.515625
473,31459,32307,14095,43607,24.3203125
474,31586,32424,14266,43627,25.140625
475,31749,32481,14302,43867,25.8125
476,31699,32541,14289,43974,24.8359375
477,31843,32545,14215,43991,23.8828125
478,31826,32605,14326,44158,25.484375
479,32084,32762,14416,44312,24.3359375
480,32087,32855,14670,44405,25.734375
481,32057,32852,14663,44562,25.65625
482,32224,32919,14576,44502,25.5546875
483,32307,33106,14964,44622,23.9375
484,32331,33089,14593,44716,24.9375
485,32354,33240,14967,44936,24.7578125
486,32404,33360,14673,44950,24.2890625
487,32538,33300,14897,45110,24.5
488,32601,33483,14954,45311,24.8203125
489,32705,33487,15034,45220,26.109375
490,32688,33587,15198,45324,25.515625
491,32772,33711,15198,45371,24.03125
492,32905,33814,14944,45601,25.7421875
493,33026,33854,15061,45588,26.125
494,33079,33881,15218,45742,24.7421875
495,33139,33964,15118,45788,25.2265625
496,33139,34088,15345,46006,25.2421875
497,33370,34128,15261,46223,25.203125
498,33353,34205,15442,46206,25.40625
499,33473,34289,15689,46243,25.0546875
500,33487,34389,15275,46340,26.125
501,33513,34349,15716,46500,26.25
502,33751,34509,15939,46473,25.953125
503,33711,34523,15625,46610,24.671875
504,33864,34703,15853,46767,25.4375
505,33928,34733,15766,47108,25.2421875
506,33924,34783,15692,46928,24.4453125
507,33971,34816,15729,47065,25.5625
508,34081,34937,15969,47172,25.0078125
509,34162,35017,16361,47302,25.59375
510,34299,35090,15963,47305,25.453125
511,34292,35187,15863,47499,25.2109375
